
Millis,T,AX,AY,AZ,Vec,ReMPU,RePAL,Temp,Press,Alt
3904,0,-0.49,0.22,0.65,0.84,0,0,32.48,1006.37,110.53,74.28,89.18,-19.48
4003,0,-0.44,0.42,0.81,1.02,0,0,32.48,1006.37,110.53,100.08,22.60,41.80
4104,0,-0.50,0.42,1.40,1.55,0,0,32.48,1006.37,110.53,64.22,-0.27,24.43
4205,0,-0.42,0.10,0.91,1.01,0,0,32.48,1006.37,110.53,-53.03,43.08,-54.66
4304,0,-0.31,0.03,1.11,1.15,0,0,32.48,1006.37,110.53,-25.78,-39.29,27.29
4405,0,-0.39,-0.11,0.80,0.89,0,0,32.49,1006.37,110.56,-80.17,42.66,-38.50
4505,0,-0.43,-0.36,0.62,0.84,0,0,32.49,1006.37,110.56,-79.92,17.78,-22.59
4604,0,-0.41,-0.64,0.52,0.92,0,0,32.49,1006.37,110.56,-67.61,14.49,-11.43
4705,0,-0.43,-0.74,0.50,1.00,0,0,32.49,1006.37,110.56,-35.96,13.69,2.72
4805,0,-0.46,-0.69,0.59,1.02,0,0,32.49,1006.37,110.56,-21.45,21.99,-8.44
4904,0,-0.39,-0.62,0.52,0.90,0,0,32.50,1006.36,110.59,-14.44,17.17,-1.67
5004,0,-0.45,-0.68,0.58,1.00,0,0,32.50,1006.36,110.59,-22.48,22.96,-6.79
5104,0,-0.26,-0.64,0.53,0.87,0,0,32.50,1006.36,110.59,-17.24,-1.98,-3.50
5203,0,-0.28,-0.68,0.49,0.88,0,0,32.50,1006.36,110.59,-4.44,-24.90,15.89
5305,0,-0.49,-0.77,0.42,1.00,0,0,32.50,1006.36,110.59,-1.75,-13.26,11.19
5405,0,-0.38,-0.67,0.39,0.86,0,0,32.50,1006.37,110.58,3.37,1.62,-10.94
5504,0,-0.40,-0.64,0.43,0.87,0,0,32.50,1006.37,110.58,10.75,10.04,-14.72
5604,0,-0.42,-0.66,0.46,0.91,0,0,32.50,1006.37,110.58,-4.44,29.79,-36.73
5705,0,-0.39,-0.74,0.38,0.91,0,0,32.50,1006.37,110.58,-2.67,7.60,-32.77
5805,0,-0.22,-0.54,0.45,0.73,0,0,32.50,1006.37,110.58,-4.44,-4.35,-20.03
5904,0,-0.16,-0.68,0.36,0.78,0,0,32.51,1006.36,110.61,-22.30,10.58,-19.78
6004,0,-0.30,-0.87,0.46,1.02,0,0,32.51,1006.36,110.61,-23.16,3.57,-25.03
6104,0,-0.15,-0.80,0.35,0.89,0,0,32.51,1006.36,110.61,-35.23,10.83,-54.23
6204,0,-0.08,-0.91,0.38,0.99,0,0,32.51,1006.36,110.61,-35.96,-0.94,-31.18
6305,0,-0.05,-0.97,0.28,1.01,0,0,32.51,1006.36,110.61,-47.48,-2.95,-23.32
6404,0,-0.12,-1.00,0.15,1.02,0,0,32.52,1006.36,110.60,-48.09,-5.27,-28.56
6504,0,-0.07,-0.96,0.05,0.96,0,0,32.52,1006.36,110.60,-35.11,-25.76,-27.95
6604,0,0.10,-0.91,-0.08,0.92,0,0,32.52,1006.36,110.60,-28.16,-21.61,-25.15
6705,0,0.22,-0.93,0.01,0.96,0,0,32.52,1006.36,110.60,-25.29,-13.32,-10.94
6805,0,0.23,-0.91,-0.08,0.94,0,0,32.52,1006.36,110.60,-35.66,-7.95,-5.33
6903,0,0.22,-0.90,-0.17,0.95,0,0,32.53,1006.37,110.54,-49.98,9.06,-5.94
7004,0,0.33,-1.03,-0.20,1.10,0,0,32.53,1006.37,110.54,-62.36,29.55,-22.71
7105,0,0.12,-0.94,-0.41,1.03,0,0,32.53,1006.37,110.54,-13.46,23.21,-1.06
7204,0,0.24,-0.94,-0.40,1.05,0,0,32.53,1006.37,110.54,10.38,15.40,-13.20
7305,0,0.20,-0.88,-0.28,0.94,0,0,32.53,1006.37,110.54,24.65,13.57,-8.68
7405,0,0.28,-0.87,-0.17,0.93,0,0,32.53,1006.37,110.53,18.37,18.63,-11.73
7504,0,0.36,-0.82,-0.05,0.90,0,0,32.53,1006.37,110.53,14.59,14.43,-4.66
7605,0,0.36,-0.84,-0.16,0.92,0,0,32.53,1006.37,110.53,-8.83,17.72,-13.32
7705,0,0.39,-0.92,-0.16,1.01,0,0,32.53,1006.37,110.53,-7.00,8.02,-5.88
7804,0,0.45,-0.89,-0.15,1.01,0,0,32.53,1006.37,110.53,9.10,-23.68,25.95
7904,0,0.25,-0.83,-0.15,0.88,0,0,32.53,1006.37,110.53,20.38,-24.05,51.86
8005,0,0.01,-0.78,-0.09,0.79,0,0,32.54,1006.37,110.50,-3.28,-8.68,28.63
8104,0,0.11,-0.82,-0.23,0.86,0,0,32.54,1006.37,110.50,-23.83,-8.99,13.51
